img_id,rle_mask
0,72540 4 73052 4 73562 10 74074 10 74584 14 75096 14 75608 16 76120 16 76630 18 77142 18 77654 20 78166 20 78678 20 79190 20 79702 20 80214 20 80726 20 81238 20 81750 20 82262 20 82774 20 83286 20 83798 20 84310 20 84822 20 85334 20 85846 20 86358 20 86870 20 87382 20 87894 20 88406 20 88918 20 89430 20 89942 20 90454 20 90966 20 91478 20 91990 20 92502 20 93014 20 93526 20 94038 20 94550 20 95062 20 95574 20 96086 20 96598 20 97110 20 97622 20 98134 20 98646 20 99158 20 99670 20 100182 20 100694 20 101206 20 101718 20 102230 20 102742 20 103254 20 103766 20 104278 20 104790 20 105304 18 105816 18 106328 16 106840 16 107352 16 107864 16 108378 14 108890 14 109402 12 109914 12 110430 4 110942 4
1,89768 8 90280 8 90790 12 91302 12 91812 16 92324 16 92834 20 93346 20 93854 26 94366 26 94876 28 95388 28 95898 28 96410 28 96922 28 97434 28 97944 30 98456 30 98966 32 99478 32 99990 32 100502 32 101014 32 101526 32 102036 32 102548 32 103060 32 103572 32 104084 30 104596 30 105106 32 105618 32 106130 30 106642 30 107154 30 107666 30 108176 30 108688 30 109200 30 109712 30 110224 28 110736 28 111246 30 111758 30 112270 28 112782 28 113294 28 113806 28 114316 30 114828 30 115340 28 115852 28 116362 30 116874 30 117386 30 117898 30 118408 30 118920 30 119432 30 119944 30 120454 32 120966 32 121478 30 121990 30 122500 32 123012 32 123524 32 124036 32 124546 32 125058 32 125570 32 126082 32 126592 32 127104 32 127616 32 128128 32 128638 34 129150 34 129662 32 130174 32 130686 32 131198 32 131708 34 132220 34 132732 32 133244 32 133754 34 134266 34 134778 34 135290 34 135800 34 136312 34 136824 34 137336 34 137846 34 138358 34 138870 34 139382 34 139894 34 140406 34 140918 32 141430 32 141944 30 142456 30 142970 26 143482 26 143996 24 144508 24 145024 18 145536 18 146052 10 146564 10
2,49910 2 50422 2 50930 10 51442 10 51952 12 52464 12 52974 16 53486 16 53996 16 54508 16 55018 18 55530 18 56042 18 56554 18 57064 18 57576 18 58086 20 58598 20 59108 20 59620 20 60132 18 60644 18 61154 20 61666 20 62176 20 62688 20 63198 20 63710 20 64220 20 64732 20 65244 18 65756 18 66266 18 66778 18 67292 14 67804 14 68316 12 68828 12 69342 8 69854 8
3,24304 8 24816 8 25320 20 25832 20 26340 24 26852 24 27354 36 27866 36 28352 62 28864 62 29356 84 29868 84 30376 88 30888 88 31398 90 31910 90 32420 92 32932 92 33442 92 33954 92 34466 88 34978 88 35490 82 36002 82 36516 68 37028 68 37540 58 38052 58 38566 50 39078 50 39592 34 40104 34 40620 12 41132 12 207784 2 208296 2 208808 2 209320 2 209832 2 210344 2
4,158526 2 159038 2 159544 10 160056 10 160566 14 161078 14 161586 20 162098 20 162608 24 163120 24 163630 26 164142 26 164652 30 165164 30 165674 34 166186 34 166696 36 167208 36 167716 40 168228 40 168738 40 169250 40 169760 40 170272 40 170784 38 171296 38 171806 36 172318 36 172830 32 173342 32 173856 26 174368 26 174880 22 175392 22 175906 18 176418 18 176932 14 177444 14 177958 8 178470 8
5,60174 8 60686 8 61196 12 61708 12 62220 14 62732 14 63242 18 63754 18 64264 22 64776 22 65288 26 65800 26 66310 34 66822 34 67334 38 67846 38 68360 40 68872 40 69384 42 69896 42 70410 44 70922 44 71436 44 71948 44 72464 44 72976 44 73498 40 74010 40 74528 36 75040 36 75556 34 76068 34 76582 32 77094 32 77608 30 78120 30 78634 28 79146 28 79660 24 80172 24 80688 18 81200 18 81716 12 82228 12 82746 2 83258 2
6,164588 32 165100 32 165608 56 166120 56 166630 68 167142 68 167654 78 168166 78 168676 92 169188 92 169700 98 170212 98 170722 108 171234 108 171746 110 172258 110 172770 110 173282 110 173796 108 174308 108 174820 106 175332 106 175844 106 176356 106 176870 102 177382 102 177896 100 178408 100 178926 92 179438 92 179960 80 180472 80 180996 66 181508 66 182034 50 182546 50 183070 36 183582 36 184104 22 184616 22
7,
8,63076 14 63588 14 64098 22 64610 22 65120 30 65632 30 66144 36 66656 36 67166 44 67678 44 68192 46 68704 46 69216 54 69728 54 70242 60 70754 60 71270 62 71782 62 72300 58 72812 58 73330 56 73842 56 74360 52 74872 52 75390 46 75902 46 76420 42 76932 42 77450 36 77962 36 78480 28 78992 28 79508 24 80020 24 80540 14 81052 14
9,131794 12 132306 12 132816 16 133328 16 133840 16 134352 16 134862 20 135374 20 135884 22 136396 22 136908 22 137420 22 137932 20 138444 20 138954 22 139466 22 139978 22 140490 22 141002 20 141514 20 142024 22 142536 22 143048 20 143560 20 144072 20 144584 20 145094 20 145606 20 146118 20 146630 20 147140 22 147652 22 148164 20 148676 20 149186 22 149698 22 150210 20 150722 20 151234 20 151746 20 152256 20 152768 20 153280 20 153792 20 154304 20 154816 20 155330 16 155842 16 156356 12 156868 12 157386 4 157898 4
